nome,tipo_cucina,difficolta,tipo_piatto,metodo_cottura,stagionalita,dieta_speciale,occasione_consumo,numero_ingredienti,numero_porzioni,tempo_preparazione_min,tempo_cottura_min,costo_stimato_euro,rating_medio,numero_preparazioni,calorie_per_porzione,tempo_totale_min,ingredienti
Pasta Gricia,italiana,media,primo,saltato,tutto_anno,normale,quotidiana,4,4,10,10,5.5,4.5,6800,420,20,Spaghetti;Guanciale;Pecorino Romano;Pepe nero
Supplì al Telefono,italiana,media,antipasto,fritto,tutto_anno,vegetariana,street_food,8,6,30,5,4.5,4.3,9200,280,35,Risotto Carnaroli;Pomodoro San Marzano;Mozzarella di Bufala Campana;Uova;Pangrattato;Olio di Semi;Burro;Parmigiano Reggiano 24 mesi
Pasta Cacio e Pepe,italiana,difficile,primo,mantecato,tutto_anno,normale,quotidiana,3,4,5,8,6.0,4.6,8900,420,13,Spaghetti;Pecorino Romano;Pepe nero
Agnello Brodettato,italiana,difficile,secondo,stufato,primavera,normale,pasquale,10,6,30,75,28.0,4.4,1200,420,105,Agnello;Uova;Limone;Cipolla;Aglio;Prezzemolo;Vino Bianco;Olio Extra Vergine Toscano;Farina 00;Brodo di Carne
Spaghetti Aglio Olio e Peperoncino,italiana,facile,primo,saltato,tutto_anno,vegana,quotidiana,4,4,8,5,2.5,4.3,22000,350,13,Spaghetti;Aglio;Olio Extra Vergine Toscano;Peperoncino Calabrese
Millefoglie alla Crema,italiana,molto_difficile,dolce,al_forno,tutto_anno,normale,festiva,8,6,120,25,12.0,4.6,2800,450,145,Pasta Sfoglia;Crema Pasticcera;Zucchero a Velo;Burro;Uova;Latte;Farina 00;Vaniglia
Pasta alla Gricia,italiana,media,primo,saltato,tutto_anno,normale,quotidiana,4,4,10,10,5.5,4.5,6800,420,20,Spaghetti;Guanciale;Pecorino Romano;Pepe nero
Caponata Siciliana,italiana,media,contorno,stufato,estate,vegana,contorno,12,6,30,45,8.0,4.4,5200,120,75,Melanzane Siciliane;Pomodoro San Marzano;Cipolla;Sedano;Olive Taggiasche;Capperi;Aceto Balsamico Modena IGP;Zucchero;Basilico Genovese DOP;Pinoli;Aglio;Olio Extra Vergine Toscano
Ragu Bolognese,italiana,difficile,condimento,brasato,autunno_inverno,normale,domenicale,12,8,30,180,15.0,4.8,12000,85,210,Carne Macinata;Pomodoro San Marzano;Cipolla;Carote;Sedano;Vino Rosso;Latte;Olio Extra Vergine Toscano;Burro;Aglio;Rosmarino;Salvia
Pasta e Ceci,italiana,facile,primo,bollito,autunno_inverno,vegana,comfort_food,8,6,15,40,4.5,4.2,7800,280,55,Pasta Mista;Ceci;Pomodoro San Marzano;Aglio;Rosmarino;Olio Extra Vergine Toscano;Cipolla;Brodo Vegetale
Tortellini in Brodo,italiana,difficile,primo,bollito,autunno_inverno,normale,domenicale,12,6,90,15,12.0,4.7,5400,320,105,Tortellini;Prosciutto di Parma;Parmigiano Reggiano 24 mesi;Brodo di Carne;Uova;Farina 00;Burro;Noce Moscata;Mortadella;Ricotta;Spinaci;Sale
Gelato Fiordilatte,italiana,difficile,dolce,mantecato,estate,normale,merenda,4,6,20,0,5.0,4.5,8200,180,20,Latte;Panna;Zucchero;Vaniglia
Pasta all'Arrabbiata,italiana,facile,primo,saltato,tutto_anno,vegana,quotidiana,6,4,10,12,4.0,4.3,12000,360,22,Spaghetti;Pomodoro San Marzano;Aglio;Peperoncino Calabrese;Olio Extra Vergine Toscano;Prezzemolo
Ribollita Toscana,italiana,facile,primo,bollito,autunno_inverno,vegana,comfort_food,15,6,25,90,6.0,4.4,4200,220,115,Cavolo Nero;Fagioli Cannellini;Pane Pugliese;Carote;Sedano;Cipolla;Pomodoro San Marzano;Patate;Zucchine;Spinaci;Olio Extra Vergine Toscano;Aglio;Rosmarino;Timo;Brodo Vegetale
Pasta alla Boscaiola,italiana,media,primo,saltato,autunno,normale,quotidiana,10,4,20,15,9.5,4.5,6200,450,35,Spaghetti;Funghi Porcini;Salsiccia;Panna;Pomodoro San Marzano;Cipolla;Aglio;Vino Bianco;Olio Extra Vergine Toscano;Parmigiano Reggiano 24 mesi
Spezzatino di Manzo,italiana,media,secondo,stufato,autunno_inverno,normale,comfort_food,8,6,25,120,18.0,4.3,4800,380,145,Manzo per Spezzatino;Cipolla;Carote;Sedano;Pomodoro San Marzano;Vino Rosso;Brodo di Carne;Olio Extra Vergine Toscano
Risotto al Taleggio e Noci,italiana,media,primo,mantecato,autunno_inverno,normale,domenicale,8,4,15,20,16.0,4.7,3200,420,35,Risotto Carnaroli;Taleggio;Noci;Cipolla;Vino Bianco;Brodo Vegetale;Burro;Parmigiano Reggiano 24 mesi
Pasta alla Norcineria,italiana,media,primo,saltato,tutto_anno,normale,quotidiana,7,4,20,15,14.5,4.6,4800,450,35,Spaghetti;Salsiccia;Funghi Porcini;Panna;Tartufo Nero Umbro;Aglio;Olio Extra Vergine Toscano
Spaghetti alle Acciughe,italiana,facile,primo,saltato,tutto_anno,normale,quotidiana,5,4,15,12,9.5,4.5,6200,380,27,Spaghetti;Acciughe;Aglio;Olio Extra Vergine Toscano;Prezzemolo
Risotto ai Pistacchi di Bronte,italiana,difficile,primo,mantecato,tutto_anno,normale,cena_elegante,9,4,20,25,22.0,4.8,2100,450,45,Risotto Carnaroli;Pistacchi di Bronte;Cipolla;Vino Bianco;Brodo Vegetale;Burro;Parmigiano Reggiano 24 mesi;Panna;Olio Extra Vergine Toscano
Pasta e Fagioli di Lamon,italiana,media,primo,bollito,autunno_inverno,vegetariana,comfort_food,8,6,25,50,7.5,4.4,5600,320,75,Pasta Mista;Fagioli di Lamon;Cipolla;Carote;Sedano;Pomodoro San Marzano;Olio Extra Vergine Toscano;Brodo Vegetale
Tagliata con Rucola e Grana,italiana,facile,secondo,alla_griglia,tutto_anno,normale,cena_elegante,5,4,10,8,28.0,4.7,3800,480,18,Filetto di Manzo;Rucola;Grana Padano;Olio Extra Vergine Toscano;Sale
Branzino in Crosta di Sale,italiana,media,secondo,al_forno,tutto_anno,normale,domenicale,6,4,20,35,25.0,4.6,2900,320,55,Branzino;Sale Grosso;Rosmarino;Limone;Olio Extra Vergine Toscano;Pepe nero
Agnello alle Erbe,italiana,difficile,secondo,brasato,primavera,normale,pasquale,12,6,45,90,32.0,4.5,1500,420,135,Agnello;Rosmarino;Salvia;Timo;Aglio;Cipolla;Carote;Sedano;Vino Bianco;Olio Extra Vergine Toscano;Patate;Brodo di Carne
Seppia con Piselli,italiana,media,secondo,stufato,primavera,normale,familiare,8,4,30,45,18.0,4.4,4200,280,75,Seppia;Piselli;Cipolla;Aglio;Pomodoro San Marzano;Vino Bianco;Olio Extra Vergine Toscano;Prezzemolo
Bruschetta al Taleggio,italiana,facile,antipasto,alla_griglia,tutto_anno,vegetariana,aperitivo,4,6,10,5,8.5,4.3,8500,180,15,Pane Pugliese;Taleggio;Noci;Olio Extra Vergine Toscano
Focaccia con Cipolla di Tropea,italiana,media,antipasto,al_forno,estate,vegetariana,aperitivo,6,8,45,25,5.5,4.5,6800,220,70,Farina 00;Cipolla di Tropea;Olio Extra Vergine Toscano;Lievito di Birra;Sale;Acqua
Caponata con Peperoni di Senise,italiana,media,contorno,stufato,estate,vegana,contorno,10,6,25,40,6.0,4.4,4500,120,65,Melanzane Siciliane;Peperoni di Senise;Pomodoro San Marzano;Cipolla;Sedano;Olive Taggiasche;Capperi;Aceto;Zucchero;Olio Extra Vergine Toscano
Insalata di Lenticchie di Castelluccio,italiana,facile,antipasto,bollito,tutto_anno,vegana,pranzo_veloce,8,4,15,25,5.0,4.2,5200,250,40,Lenticchie di Castelluccio;Cipolla;Carote;Sedano;Pomodorini;Prezzemolo;Olio Extra Vergine Toscano;Aceto
Cannoli Siciliani,italiana,difficile,dolce,fritto,tutto_anno,normale,festiva,12,8,60,15,18.0,4.8,3500,420,75,Farina 00;Uova;Zucchero;Burro;Vino Bianco;Sale;Olio di Semi;Ricotta;Pistacchi per Dolci;Cioccolato per Cannoli;Zucchero a Velo
Baba al Rum,italiana,molto_difficile,dolce,al_forno,tutto_anno,normale,festiva,10,6,90,30,15.0,4.7,2800,380,120,Farina 00;Lievito di Birra;Uova;Burro;Zucchero;Latte;Sale;Rum;Sciroppo di Zucchero;Panna
Panna Cotta ai Pistacchi,italiana,media,dolce,mantecato,tutto_anno,normale,cena_elegante,6,6,20,0,12.0,4.6,4200,280,20,Panna;Gelatina;Zucchero;Pistacchi per Dolci;Latte;Vaniglia
Risotto alla Zucca,italiana,media,primo,mantecato,autunno,vegetariana,domenicale,7,4,15,25,9.0,4.6,6500,380,40,Risotto Carnaroli;Zucca;Cipolla;Vino Bianco;Brodo Vegetale;Burro;Parmigiano Reggiano 24 mesi
Pollo alla Cacciatora,italiana,media,secondo,stufato,tutto_anno,normale,familiare,10,4,20,50,12.0,4.5,7800,450,70,Pollo;Pomodoro San Marzano;Cipolla;Carote;Sedano;Peperoni;Olive Taggiasche;Vino Bianco;Rosmarino;Olio Extra Vergine Toscano
Hummus di Ceci,mediorientale,facile,antipasto,frullato,tutto_anno,vegana,aperitivo,6,6,10,0,4.0,4.7,15000,180,10,Ceci;Tahina;Limone;Aglio;Olio Extra Vergine Toscano;Sale
Guacamole,messicana,facile,antipasto,crudo,tutto_anno,vegana,aperitivo,6,4,15,0,7.0,4.8,11000,150,15,Avocado;Limone;Cipolla;Pomodorini;Coriandolo;Peperoncino Calabrese
Sushi Maki (Salmone e Avocado),giapponese,difficile,piatto_unico,crudo,tutto_anno,normale,cena_speciale,8,2,60,0,18.0,4.6,4500,350,60,Riso per Sushi;Salmone;Avocado;Alga Nori;Wasabi;Salsa di Soia;Zenzero;Aceto di Riso
Cheesecake ai Frutti di Bosco,americana,media,dolce,al_forno,estate,normale,festiva,10,8,45,60,15.0,4.8,8800,420,105,Philadelphia;Zucchero;Uova;Biscotti Digestive;Burro;Frutti di Bosco;Gelatina;Panna;Vaniglia;Limone
Pad Thai con Gamberi,thailandese,media,piatto_unico,saltato,tutto_anno,normale,esotica,9,2,25,10,14.0,4.7,5200,550,35,Tagliatelle di Riso;Gamberi;Uova;Germogli di Soia;Arachidi;Aglio;Cipolla;Zucchero;Salsa di Soia;Lime
Insalata di Quinoa con Verdure,salutistica,facile,piatto_unico,bollito,tutto_anno,vegana,pranzo_veloce,10,2,15,15,8.0,4.4,9500,350,30,Quinoa;Pomodorini;Cetrioli;Peperoni;Cipolla Rossa;Prezzemolo;Limone;Olio Extra Vergine Toscano;Sale;Pepe nero
Zuppa di Miso,giapponese,facile,primo,bollito,tutto_anno,vegana,comfort_food,5,2,10,5,6.0,4.3,8200,80,15,Miso;Tofu;Alga Wakame;Cipollotti;Brodo Vegetale
Falafel,mediorientale,media,antipasto,fritto,tutto_anno,vegana,street_food,8,4,30,10,5.5,4.6,12000,280,40,Ceci;Cipolla;Aglio;Prezzemolo;Coriandolo;Cumino;Farina di Ceci;Olio di Semi
Hamburger Classico,americana,facile,piatto_unico,alla_griglia,tutto_anno,normale,fast_food,8,2,15,10,8.0,4.4,18000,520,25,Carne Macinata;Pane per Hamburger;Pomodoro;Lattuga;Cipolla;Formaggio;Maionese;Ketchup
Pollo al Curry e Latte di Cocco,indiana,media,secondo,stufato,tutto_anno,normale,esotica,10,4,20,25,12.0,4.6,5800,480,45,Pollo;Latte di Cocco;Curry in Polvere;Cipolla;Aglio;Zenzero;Pomodoro;Coriandolo;Olio di Semi;Riso Basmati
Couscous di Verdure e Ceci,nordafricana,facile,piatto_unico,al_vapore,tutto_anno,vegana,etnica,9,4,15,20,7.0,4.4,8500,320,35,Couscous;Ceci;Zucchine;Carote;Peperoni;Cipolla;Pomodorini;Olio Extra Vergine Toscano;Prezzemolo
Tacos con Carne,messicana,media,piatto_unico,saltato,tutto_anno,normale,street_food,10,4,25,15,14.0,4.6,7300,250,40,Tortillas di Mais;Carne Macinata;Pomodorini;Cipolla;Avocado;Formaggio;Lattuga;Lime;Peperoncino;Coriandolo
Orecchiette con Cime di Rapa,italiana,media,primo,saltato,inverno,vegana,regionale,7,4,20,15,10.0,4.5,6800,410,35,Orecchiette;Cime di Rapa;Aglio;Peperoncino Calabrese;Acciughe;Olio Extra Vergine Toscano;Sale
Torta Caprese,italiana,media,dolce,al_forno,tutto_anno,vegetariana,festiva,5,8,25,40,16.0,4.8,4900,480,65,Cioccolato Fondente;Mandorle;Burro;Zucchero;Uova
Pasta con le Sarde,italiana,difficile,primo,saltato,primavera,normale,regionale,12,4,30,25,14.0,4.6,3100,510,55,Spaghetti;Sarde;Finocchietto;Cipolla;Aglio;Pinoli;Uvetta;Pomodoro San Marzano;Olio Extra Vergine Toscano;Pangrattato;Zafferano;Sale
Avocado Toast,salutistica,facile,antipasto,tostato,tutto_anno,vegana,colazione,4,1,5,3,5.0,4.7,18000,250,8,Pane Integrale;Avocado;Limone;Sale
Pancakes con Sciroppo d'Acero,americana,facile,dolce,in_padella,tutto_anno,normale,colazione,6,4,10,10,7.0,4.5,12500,320,20,Farina 00;Latte;Uova;Zucchero;Burro;Sciroppo d'Acero
Coniglio alla Ligure,italiana,media,secondo,in_umido,tutto_anno,normale,domenicale,10,4,25,60,18.0,4.4,3400,390,85,Coniglio;Olive Taggiasche;Pinoli;Aglio;Rosmarino;Vino Bianco;Pomodoro San Marzano;Cipolla;Olio Extra Vergine Toscano;Sale
Polpette al Sugo,italiana,facile,secondo,in_umido,tutto_anno,normale,familiare,8,4,20,30,9.0,4.6,14200,400,50,Carne Macinata;Uova;Pangrattato;Parmigiano Reggiano 24 mesi;Aglio;Prezzemolo;Pomodoro San Marzano;Olio Extra Vergine Toscano
Frittata di Zucchine e Cipolle,italiana,facile,secondo,in_padella,estate,vegetariana,pranzo_veloce,5,4,10,15,6.0,4.3,11500,250,25,Uova;Zucchine;Cipolle;Olio Extra Vergine Toscano;Sale
Muffin ai Mirtilli,americana,facile,dolce,al_forno,estate,normale,merenda,8,12,20,25,10.0,4.5,9800,280,45,Farina 00;Uova;Latte;Zucchero;Burro;Mirtilli;Lievito in polvere;Sale
Vellutata di Piselli e Menta,salutistica,facile,primo,frullato,primavera,vegana,cena_leggera,6,4,10,20,5.0,4.2,6200,180,30,Piselli;Menta;Cipolla;Brodo Vegetale;Olio Extra Vergine Toscano;Sale
Spezzatino con Patate,italiana,media,secondo,stufato,autunno_inverno,normale,comfort_food,9,6,25,120,16.0,4.5,7100,520,145,Spalla di Manzo;Patate;Carote;Sedano;Cipolla;Aglio;Pomodoro San Marzano;Brodo di Carne;Vino Rosso
Gamberi in Salsa Rosa,italiana,facile,antipasto,crudo,tutto_anno,normale,festiva,6,4,15,0,12.0,4.3,8400,220,15,Gamberi;Salsa Rosa;Insalata Iceberg;Pomodorini;Olio Extra Vergine Toscano;Limone
Riso alla Cantonese,cinese,media,piatto_unico,saltato,tutto_anno,normale,quotidiana,8,4,20,10,9.0,4.4,11000,450,30,Riso Basmati;Uova;Prosciutto Cotto;Piselli;Carote;Soia Salsa;Olio di Sesamo;Cipollotti
Caesar Salad,americana,facile,piatto_unico,crudo,tutto_anno,normale,pranzo_veloce,8,2,20,0,11.0,4.2,13000,380,20,Insalata Romana;Parmigiano Reggiano 24 mesi;Acciughe;Crostini di Pane;Salsa Caesar;Olio Extra Vergine Toscano;Aglio;Limone
Crema Catalana,spagnola,media,dolce,caramellato,tutto_anno,normale,festiva,6,6,15,10,9.0,4.7,5600,300,25,Latte;Tuorli d'Uovo;Zucchero;Amido di Mais;Buccia di Limone;Cannella
Gazpacho Andaluso,spagnola,facile,primo,crudo,estate,vegana,estiva,8,6,20,0,7.0,4.5,6700,100,20,Pomodori;Peperoni Rossi;Cetrioli;Cipolla;Aglio;Pane Raffermo;Olio Extra Vergine Toscano;Aceto di Sherry
Paella de Marisco,spagnola,difficile,piatto_unico,in_padella,tutto_anno,normale,festiva,15,6,40,30,28.0,4.8,3900,580,70,Riso Bomba;Gamberi;Cozze;Calamari;Pesce Bianco;Zafferano;Pomodori;Peperoni;Aglio;Brodo di Pesce;Limone;Piselli;Fagioli;Olio Extra Vergine Toscano;Paprika
Pollo Teriyaki,giapponese,facile,secondo,saltato,tutto_anno,normale,quotidiana,7,2,10,15,10.0,4.6,9100,420,25,Petto di Pollo;Salsa Teriyaki;Sesamo;Cipollotti;Zenzero;Aglio;Olio di Sesamo
Peperoni Ripieni di Riso,italiana,media,piatto_unico,al_forno,estate,vegetariana,familiare,9,4,25,45,8.0,4.4,5300,310,70,Peperoni;Riso Carnaroli;Cipolla;Aglio;Prezzemolo;Basilico;Parmigiano Reggiano 24 mesi;Olio Extra Vergine Toscano;Pomodoro San Marzano
Zuppa di Cipolle Gratinata,francese,media,primo,al_forno,inverno,normale,comfort_food,7,4,20,60,10.0,4.6,4800,350,80,Cipolle;Brodo di Carne;Gruyère;Pane Raffermo;Burro;Vino Bianco;Timo
Boeuf Bourguignon,francese,difficile,secondo,brasato,autunno_inverno,normale,domenicale,14,6,30,180,25.0,4.8,2800,550,210,Manzo;Vino Rosso Borgogna;Cipollotti;Funghi Champignon;Carote;Sedano;Aglio;Alloro;Timo;Brodo di Carne;Pancetta;Burro;Farina 00;Prezzemolo
Quiche Lorraine,francese,media,piatto_unico,al_forno,tutto_anno,normale,brunch,8,6,30,40,12.0,4.5,6100,450,70,Pasta Brisée;Uova;Panna;Pancetta;Gruyère;Noce Moscata;Pepe nero;Burro
Creme Brûlée,francese,media,dolce,al_forno,tutto_anno,normale,cena_elegante,4,6,15,40,10.0,4.7,7200,380,55,Panna;Tuorli d'Uovo;Zucchero;Baccello di Vaniglia
Insalata Greca,greca,facile,contorno,crudo,estate,vegetariana,pranzo_veloce,7,4,15,0,8.0,4.6,14000,280,15,Pomodori;Cetrioli;Cipolle Rosse;Olive Nere Kalamata;Feta;Origano;Olio Extra Vergine Toscano
Moussaka,greca,difficile,piatto_unico,al_forno,tutto_anno,normale,festiva,15,8,60,70,20.0,4.7,4100,490,130,Melanzane;Carne Macinata;Cipolle;Aglio;Pomodori;Besciamella;Parmigiano Reggiano 24 mesi;Olio Extra Vergine Toscano;Cannella;Alloro;Vino Rosso;Latte;Burro;Farina 00;Noce Moscata
Wiener Schnitzel,austriaca,facile,secondo,fritto,tutto_anno,normale,domenicale,5,4,15,10,16.0,4.5,5900,450,25,Vitello;Pangrattato;Uova;Farina 00;Burro;Limone
Sachertorte,austriaca,molto_difficile,dolce,al_forno,tutto_anno,normale,festiva,12,12,60,50,22.0,4.8,2500,500,110,Cioccolato Fondente;Burro;Zucchero;Uova;Farina 00;Confettura di Albicocche;Cioccolato per Glassa;Panna;Mandorle;Vaniglia;Lievito in polvere;Sale
Goulash Ungherese,ungherese,media,secondo,stufato,inverno,normale,comfort_food,12,6,30,150,18.0,4.6,3700,480,180,Manzo;Cipolle;Peperoni;Paprika;Pomodori;Cumino;Carote;Patate;Brodo di Carne;Aglio;Alloro;Maggiorana
